Datetime,Open,High,Low,Close
2001-05-22 08:42,0.5238,0.5238,0.5238,0.5238
2001-05-22 08:44,0.5239,0.524,0.5239,0.524
2001-05-22 08:46,0.5241,0.5242,0.5241,0.5242
2001-05-22 08:48,0.5241,0.5241,0.5241,0.5241
2001-05-22 08:51,0.5242,0.5243,0.5242,0.5243
2001-05-22 08:52,0.5242,0.5243,0.5242,0.5243
2001-05-22 08:53,0.5242,0.5243,0.5242,0.5243
2001-05-22 08:54,0.5242,0.5242,0.5242,0.5242
2001-05-22 08:55,0.5241,0.5241,0.5241,0.5241
2001-05-22 08:56,0.5242,0.5242,0.5241,0.5241
2001-05-22 08:57,0.524,0.524,0.5238,0.5238
2001-05-22 08:59,0.5237,0.5237,0.5237,0.5237
2001-05-22 09:00,0.5238,0.5238,0.5237,0.5237
2001-05-22 09:01,0.5238,0.5239,0.5238,0.5239
2001-05-22 09:02,0.524,0.5241,0.524,0.5241
2001-05-22 09:03,0.524,0.5242,0.5239,0.5241
2001-05-22 09:04,0.524,0.5241,0.524,0.524
2001-05-22 09:06,0.5239,0.5241,0.5239,0.524
2001-05-22 09:07,0.5241,0.5242,0.524,0.5241
2001-05-22 09:16,0.5239,0.5239,0.5239,0.5239
2001-05-22 09:17,0.524,0.5241,0.524,0.5241
2001-05-22 09:18,0.524,0.524,0.524,0.524
2001-05-22 09:20,0.5241,0.5242,0.5241,0.5242
2001-05-22 09:21,0.5243,0.5243,0.5243,0.5243
2001-05-22 09:23,0.5242,0.5242,0.5241,0.5241
2001-05-22 09:24,0.5242,0.5242,0.5242,0.5242
2001-05-22 09:25,0.5243,0.5243,0.5242,0.5243
2001-05-22 09:26,0.5242,0.5242,0.5241,0.5242
2001-05-22 09:27,0.5241,0.5241,0.5241,0.5241
2001-05-22 09:28,0.5242,0.5242,0.5241,0.5241
2001-05-22 09:31,0.5239,0.5239,0.5232,0.5234
2001-05-22 09:32,0.5235,0.5237,0.5234,0.5236
2001-05-22 09:33,0.5235,0.5235,0.5232,0.5232
2001-05-22 09:34,0.5233,0.5234,0.5232,0.5233
2001-05-22 09:35,0.5232,0.5233,0.5232,0.5232
2001-05-22 09:36,0.5231,0.5231,0.5231,0.5231
2001-05-22 09:37,0.523,0.523,0.523,0.523
2001-05-22 09:38,0.5231,0.5233,0.523,0.5233
2001-05-22 09:40,0.5231,0.5232,0.5227,0.5227
2001-05-22 09:41,0.5228,0.5229,0.5226,0.5227
2001-05-22 09:42,0.5228,0.5229,0.5227,0.5227
2001-05-22 09:43,0.5226,0.5226,0.5226,0.5226
2001-05-22 09:45,0.5225,0.5225,0.5225,0.5225
2001-05-22 09:46,0.5223,0.5225,0.5223,0.5225
2001-05-22 09:49,0.5226,0.5228,0.5226,0.5228
2001-05-22 09:51,0.5229,0.5229,0.5229,0.5229
2001-05-22 09:53,0.523,0.5234,0.523,0.5234
2001-05-22 09:54,0.5235,0.5238,0.5235,0.5237
2001-05-22 09:55,0.5236,0.5237,0.5236,0.5237
2001-05-22 09:56,0.5236,0.5236,0.5235,0.5235
2001-05-22 09:57,0.5236,0.5236,0.5235,0.5235
2001-05-22 09:58,0.5236,0.5236,0.5236,0.5236
2001-05-22 09:59,0.5235,0.5236,0.5235,0.5235
2001-05-22 10:00,0.5234,0.5236,0.5234,0.5235
2001-05-22 10:01,0.5236,0.5237,0.5236,0.5237
2001-05-22 10:02,0.5238,0.5238,0.5237,0.5237
2001-05-22 10:03,0.5238,0.5239,0.5238,0.5239
2001-05-22 10:04,0.5238,0.5239,0.5238,0.5239
2001-05-22 10:06,0.5238,0.5238,0.5238,0.5238
2001-05-22 10:07,0.5237,0.5237,0.5237,0.5237
2001-05-22 10:08,0.5236,0.5238,0.5234,0.5237
2001-05-22 10:10,0.5238,0.5238,0.5238,0.5238
2001-05-22 10:11,0.5237,0.5238,0.5237,0.5237
2001-05-22 10:14,0.5238,0.5238,0.5238,0.5238
2001-05-22 10:17,0.5239,0.5239,0.5238,0.5238
2001-05-22 10:19,0.5237,0.5237,0.5235,0.5235
2001-05-22 10:20,0.5236,0.5237,0.5236,0.5237
2001-05-22 10:22,0.5236,0.5236,0.5236,0.5236
2001-05-22 10:23,0.5235,0.5235,0.5234,0.5234
2001-05-22 10:25,0.5236,0.5236,0.5236,0.5236
2001-05-22 10:28,0.5237,0.5237,0.5237,0.5237
2001-05-22 10:31,0.5236,0.5236,0.5236,0.5236
2001-05-22 10:33,0.5235,0.5236,0.5235,0.5236
2001-05-22 10:34,0.5237,0.5238,0.5237,0.5237
2001-05-22 10:35,0.5236,0.5236,0.5236,0.5236
2001-05-22 10:36,0.5235,0.5236,0.5235,0.5236
2001-05-22 10:38,0.5237,0.5237,0.5237,0.5237
2001-05-22 10:39,0.5236,0.5237,0.5236,0.5237
2001-05-22 10:41,0.5236,0.5236,0.5236,0.5236
2001-05-22 10:42,0.5237,0.5237,0.5237,0.5237
2001-05-22 10:47,0.5235,0.5235,0.5233,0.5233
2001-05-22 10:48,0.5234,0.5234,0.5234,0.5234
2001-05-22 10:49,0.5233,0.5233,0.5233,0.5233
2001-05-22 10:50,0.5232,0.5232,0.5231,0.5231
2001-05-22 10:52,0.523,0.523,0.5229,0.5229
2001-05-22 10:53,0.5231,0.5231,0.5231,0.5231
2001-05-22 10:55,0.523,0.5231,0.523,0.5231
2001-05-22 10:56,0.523,0.523,0.523,0.523
2001-05-22 10:57,0.5231,0.5231,0.5231,0.5231
2001-05-22 11:00,0.5232,0.5233,0.5232,0.5233
2001-05-22 11:03,0.5234,0.5235,0.5234,0.5235
2001-05-22 11:04,0.5234,0.5236,0.5234,0.5236
2001-05-22 11:06,0.5237,0.5237,0.5237,0.5237
2001-05-22 11:07,0.5236,0.5236,0.5235,0.5236
2001-05-22 11:08,0.5237,0.5237,0.5237,0.5237
2001-05-22 11:10,0.5238,0.5238,0.5238,0.5238
2001-05-22 11:11,0.5239,0.5239,0.5239,0.5239
2001-05-22 11:17,0.5238,0.5238,0.5238,0.5238
2001-05-22 11:18,0.5237,0.5237,0.5236,0.5236
2001-05-22 11:20,0.5237,0.5238,0.5237,0.5238
2001-05-22 11:21,0.5237,0.5238,0.5237,0.5238
2001-05-22 11:22,0.5237,0.5237,0.5236,0.5236
2001-05-22 11:23,0.5237,0.5237,0.5236,0.5236
2001-05-22 11:24,0.5237,0.5238,0.5237,0.5238
2001-05-22 11:26,0.5239,0.5239,0.5239,0.5239
2001-05-22 11:28,0.524,0.524,0.524,0.524
2001-05-22 11:33,0.5239,0.5239,0.5237,0.5237
2001-05-22 11:34,0.5236,0.5237,0.5236,0.5237
2001-05-22 11:35,0.5235,0.5236,0.5235,0.5235
2001-05-22 11:37,0.5236,0.5238,0.5236,0.5236
2001-05-22 11:38,0.5237,0.5237,0.5237,0.5237
2001-05-22 11:39,0.5236,0.5237,0.5236,0.5237
2001-05-22 11:44,0.5238,0.5238,0.5238,0.5238
2001-05-22 11:45,0.5237,0.5237,0.5236,0.5236
2001-05-22 11:48,0.5237,0.5237,0.5236,0.5236
2001-05-22 11:51,0.5235,0.5237,0.5235,0.5237
2001-05-22 11:52,0.5236,0.5236,0.5236,0.5236
2001-05-22 11:53,0.5237,0.5238,0.5237,0.5238
2001-05-22 11:54,0.5237,0.5237,0.5236,0.5236
2001-05-22 11:57,0.5237,0.5238,0.5236,0.5236
2001-05-22 12:00,0.5235,0.5236,0.5235,0.5236
2001-05-22 12:01,0.5237,0.5238,0.5237,0.5238
2001-05-22 12:02,0.5237,0.5237,0.5236,0.5236
2001-05-22 12:03,0.5237,0.5238,0.5237,0.5238
2001-05-22 12:04,0.5239,0.5239,0.5239,0.5239
2001-05-22 12:09,0.5238,0.5238,0.5238,0.5238
2001-05-22 12:10,0.5239,0.5239,0.5239,0.5239
2001-05-22 12:15,0.524,0.524,0.524,0.524
2001-05-22 12:24,0.5239,0.524,0.5239,0.524
2001-05-22 12:26,0.5239,0.5239,0.5239,0.5239
2001-05-22 12:28,0.5241,0.5241,0.5241,0.5241
2001-05-22 12:29,0.524,0.524,0.524,0.524
2001-05-22 12:31,0.5239,0.5239,0.5238,0.5238
2001-05-22 12:35,0.5237,0.5237,0.5236,0.5236
2001-05-22 12:36,0.5237,0.5238,0.5237,0.5238
2001-05-22 12:44,0.5237,0.5237,0.5237,0.5237
2001-05-22 12:45,0.5236,0.5237,0.5236,0.5237
2001-05-22 12:55,0.5238,0.5239,0.5238,0.5239
2001-05-22 13:00,0.5238,0.5238,0.5238,0.5238
